[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 1] Λαλούντων δὲ αὐτῶν πρὸς τὸν λαόν, ἐπέστησαν αὐτοῖς οἱ ἱερεῖς καὶ ὁ στρατηγὸς τοῦ ἱεροῦ καὶ οἱ Σαδδουκαῖοι,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 23] Ἀπολυθέντες δὲ ἦλθον πρὸς τοὺς ἰδίους, καὶ ἀπήγγειλαν ὅσα πρὸς αὐτοὺς οἱ ἀρχιερεῖς καὶ οἱ πρεσβύτεροι εἶπον.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 24] Οἱ δὲ ἀκούσαντες ὁμοθυμαδὸν ἦραν φωνὴν πρὸς τὸν Θεόν, καὶ εἶπον, Δέσποτα, σὺ ὁ Θεὸς ὁ ποιήσας τὸν οὐρανὸν καὶ τὴν γῆν καὶ τὴν θάλασσαν καὶ πάντα τὰ ἐν αὐτοῖς·
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 25] ὁ διὰ στόματος Δαβὶδ τοῦ παιδός σου εἰπών, Ἵνα τί ἐφρύαξαν ἔθνη, καὶ λαοὶ ἐμελέτησαν κενά;
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 26] Παρέστησαν οἱ βασιλεῖς τῆς γῆς, καὶ οἱ ἄρχοντες συνήχθησαν ἐπὶ τὸ αὐτὸ κατὰ τοῦ Κυρίου, καὶ κατὰ τοῦ Χριστοῦ αὐτοῦ·
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 27] συνήχθησαν γὰρ ἐπ᾿ ἀληθείας ἐπὶ τὸν ἅγιον παῖδά σου Ἰησοῦν, ὃν ἔχρισας, Ἡρῴδης τε καὶ Πόντιος Πιλάτος, σὺν ἔθνεσι καὶ λαοῖς Ἰσραήλ,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 28] ποιῆσαι ὅσα ἡ χείρ σου καὶ ἡ βουλή σου προώρισε γενέσθαι.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 29] Καὶ τὰ νῦν, Κύριε, ἔπιδε ἐπὶ τὰς ἀπειλὰς αὐτῶν, καὶ δὸς τοῖς δούλοις σου μετὰ παρρησίας πάσης λαλεῖν τὸν λόγον σου,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 30] ἐν τῷ τὴν χεῖρά σου ἐκτείνειν σε εἰς ἴασιν, καὶ σημεῖα καὶ τέρατα γίνεσθαι διὰ τοῦ ὀνόματος τοῦ ἁγίου παιδός σου Ἰησοῦ.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 31] Καὶ δεηθέντων αὐτῶν ἐσαλεύθη ὁ τόπος ἐν ᾧ ἦσαν συνηγμένοι, καὶ ἐπλήσθησαν ἅπαντες πνεύματος ἁγίου, καὶ ἐλάλουν τὸν λόγον τοῦ Θεοῦ μετὰ παρρησίας.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 32] Τοῦ δὲ πλήθους τῶν πιστευσάντων ἦν ἡ καρδία καὶ ἡ ψυχὴ μία· καὶ + 4:32 οὐδ᾿ ¦ οὐδὲ ST οὐδ᾿ εἷς τι τῶν ὑπαρχόντων αὐτῷ ἔλεγεν ἴδιον εἶναι, ἀλλ᾿ ἦν αὐτοῖς ἅπαντα κοινά.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 33] Καὶ μεγάλῃ δυνάμει ἀπεδίδουν τὸ μαρτύριον οἱ ἀπόστολοι τῆς ἀναστάσεως τοῦ Κυρίου Ἰησοῦ, χάρις τε μεγάλη ἦν ἐπὶ πάντας αὐτούς.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 34] Οὐδὲ γὰρ ἐνδεής τις ὑπῆρχεν ἐν αὐτοῖς· ὅσοι γὰρ κτήτορες χωρίων ἢ οἰκιῶν ὑπῆρχον, πωλοῦντες ἔφερον τὰς τιμὰς τῶν πιπρασκομένων,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 35] καὶ ἐτίθουν παρὰ τοὺς πόδας τῶν ἀποστόλων· διεδίδοτο δὲ ἑκάστῳ καθότι ἄν τις χρείαν εἶχεν.
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 36] Ἰωσῆς δέ, ὁ ἐπικληθεὶς Βαρνάβας ὑπὸ τῶν ἀποστόλων — ὅ ἐστι, μεθερμηνευόμενον, υἱὸς παρακλήσεως — Λευΐτης, Κύπριος τῷ γένει,
[GRCGTR | EL | NT | Acts | Chapter 4 | Verse 37] ὑπάρχοντος αὐτῷ ἀγροῦ, πωλήσας ἤνεγκε τὸ χρῆμα, καὶ ἔθηκε παρὰ τοὺς πόδας τῶν ἀποστόλων.
