[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 1] Καὶ ἐκπορευομένου αὐτοῦ ἐκ τοῦ ἱεροῦ λέγει αὐτῷ εἷς τῶν μαθητῶν αὐτοῦ· Διδάσκαλε, ἴδε ποταποὶ λίθοι καὶ ποταπαὶ οἰκοδομαί.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 14] Ὅταν δὲ ἴδητε τὸ βδέλυγμα τῆς ἐρημώσεως ⸀ἑστηκότα ὅπου οὐ δεῖ, ὁ ἀναγινώσκων νοείτω, τότε οἱ ἐν τῇ Ἰουδαίᾳ φευγέτωσαν εἰς τὰ ὄρη,
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 15] ⸀ὁ ἐπὶ τοῦ δώματος μὴ ⸀καταβάτω μηδὲ εἰσελθάτω ⸂τι ἆραι⸃ ἐκ τῆς οἰκίας αὐτοῦ,
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 16] καὶ ὁ εἰς τὸν ⸀ἀγρὸν μὴ ἐπιστρεψάτω εἰς τὰ ὀπίσω ἆραι τὸ ἱμάτιον αὐτοῦ.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 17] οὐαὶ δὲ ταῖς ἐν γαστρὶ ἐχούσαις καὶ ταῖς θηλαζούσαις ἐν ἐκείναις ταῖς ἡμέραις.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 18] προσεύχεσθε δὲ ἵνα μὴ ⸀γένηται χειμῶνος·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 19] ἔσονται γὰρ αἱ ἡμέραι ἐκεῖναι θλῖψις οἵα οὐ γέγονεν τοιαύτη ἀπʼ ἀρχῆς κτίσεως ⸀ἣν ἔκτισεν ὁ θεὸς ἕως τοῦ νῦν καὶ οὐ μὴ γένηται.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 20] καὶ εἰ μὴ ⸂ἐκολόβωσεν κύριος⸃ τὰς ἡμέρας, οὐκ ἂν ἐσώθη πᾶσα σάρξ. ἀλλὰ διὰ τοὺς ἐκλεκτοὺς οὓς ἐξελέξατο ἐκολόβωσεν τὰς ἡμέρας.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 21] ⸀καὶ τότε ἐάν τις ὑμῖν εἴπῃ· ⸀Ἴδε ὧδε ὁ ⸀χριστός, ⸁Ἴδε ἐκεῖ, μὴ πιστεύετε·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 22] ἐγερθήσονται γὰρ ψευδόχριστοι καὶ ψευδοπροφῆται καὶ δώσουσιν σημεῖα καὶ τέρατα πρὸς τὸ ἀποπλανᾶν εἰ ⸀δυνατὸν τοὺς ἐκλεκτούς·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 23] ὑμεῖς δὲ βλέπετε· ⸀προείρηκα ὑμῖν πάντα.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 24] Ἀλλὰ ἐν ἐκείναις ταῖς ἡμέραις μετὰ τὴν θλῖψιν ἐκείνην ὁ ἥλιος σκοτισθήσεται, καὶ ἡ σελήνη οὐ δώσει τὸ φέγγος αὐτῆς,
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 25] καὶ οἱ ἀστέρες ⸂ἔσονται ἐκ τοῦ οὐρανοῦ πίπτοντες⸃, καὶ αἱ δυνάμεις αἱ ἐν τοῖς οὐρανοῖς σαλευθήσονται.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 26] καὶ τότε ὄψονται τὸν υἱὸν τοῦ ἀνθρώπου ἐρχόμενον ἐν νεφέλαις μετὰ δυνάμεως πολλῆς καὶ δόξης·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 27] καὶ τότε ἀποστελεῖ τοὺς ⸀ἀγγέλους καὶ ἐπισυνάξει τοὺς ⸀ἐκλεκτοὺς ἐκ τῶν τεσσάρων ἀνέμων ἀπʼ ἄκρου γῆς ἕως ἄκρου οὐρανοῦ.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 28] Ἀπὸ δὲ τῆς συκῆς μάθετε τὴν παραβολήν· ὅταν ⸂ἤδη ὁ κλάδος αὐτῆς⸃ ἁπαλὸς γένηται καὶ ἐκφύῃ τὰ φύλλα, γινώσκετε ὅτι ἐγγὺς τὸ θέρος ἐστίν·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 29] οὕτως καὶ ὑμεῖς, ὅταν ⸂ἴδητε ταῦτα⸃ γινόμενα, γινώσκετε ὅτι ἐγγύς ἐστιν ἐπὶ θύραις.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 30] ἀμὴν λέγω ὑμῖν ὅτι οὐ μὴ παρέλθῃ ἡ γενεὰ αὕτη μέχρις οὗ ⸂ταῦτα πάντα⸃ γένηται.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 31] ὁ οὐρανὸς καὶ ἡ γῆ ⸀παρελεύσονται, οἱ δὲ λόγοι μου οὐ ⸀μὴ ⸁παρελεύσονται.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 32] Περὶ δὲ τῆς ἡμέρας ἐκείνης ἢ ⸀τῆς ὥρας οὐδεὶς οἶδεν, οὐδὲ οἱ ἄγγελοι ⸀ἐν οὐρανῷ οὐδὲ ὁ υἱός, εἰ μὴ ὁ πατήρ.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 33] βλέπετε ⸀ἀγρυπνεῖτε, οὐκ οἴδατε γὰρ πότε ὁ καιρός ἐστιν·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 34] ὡς ἄνθρωπος ἀπόδημος ἀφεὶς τὴν οἰκίαν αὐτοῦ καὶ δοὺς τοῖς δούλοις αὐτοῦ τὴν ἐξουσίαν, ⸀ἑκάστῳ τὸ ἔργον αὐτοῦ, καὶ τῷ θυρωρῷ ἐνετείλατο ἵνα γρηγορῇ.
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 35] γρηγορεῖτε οὖν, οὐκ οἴδατε γὰρ πότε ὁ κύριος τῆς οἰκίας ἔρχεται, ⸀ἢ ὀψὲ ἢ ⸀μεσονύκτιον ἢ ἀλεκτοροφωνίας ἢ πρωΐ,
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 36] μὴ ἐλθὼν ἐξαίφνης εὕρῃ ὑμᾶς καθεύδοντας·
[SBLGNT | EL | NT | Mark | Chapter 13 | Verse 37] ⸀ὃ δὲ ὑμῖν λέγω πᾶσιν λέγω· γρηγορεῖτε.
